mode,test,rep,metric,value
proxy,tput4,3,gbps,10.008253068846788
proxy,tput4,3,retrans,45
proxy,cps1,3,elapsed_s,5.01001
proxy,cps1,3,sys_cpu_s,14.36
proxy,cps1,3,lb_cpu_s,2.26
proxy,cps1,3,conn_per_s,14513
proxy,cps1,3,errors,0
proxy,cps1,3,p50_us,59
proxy,cps1,3,p99_us,140
proxy,cps64,3,elapsed_s,5.0211
proxy,cps64,3,sys_cpu_s,29.38
proxy,cps64,3,lb_cpu_s,3.88
proxy,cps64,3,conn_per_s,38678
proxy,cps64,3,errors,0
proxy,cps64,3,p50_us,1653
proxy,cps64,3,p99_us,2288
raw,tput1,3,elapsed_s,5.01148
raw,tput1,3,sys_cpu_s,18.55
raw,tput1,3,lb_cpu_s,2.82
raw,tput1,3,gbps,5.666384033289369
raw,tput1,3,retrans,13030
raw,tput4,3,elapsed_s,5.00934
raw,tput4,3,sys_cpu_s,21.79
raw,tput4,3,lb_cpu_s,3.47
raw,tput4,3,gbps,5.032065796829972
raw,tput4,3,retrans,15026
raw,cps1,3,elapsed_s,5.009
raw,cps1,3,sys_cpu_s,13.09
raw,cps1,3,lb_cpu_s,1.95
raw,cps1,3,conn_per_s,16516
raw,cps1,3,errors,0
raw,cps1,3,p50_us,50
raw,cps1,3,p99_us,109
raw,cps64,3,elapsed_s,5.02704
raw,cps64,3,sys_cpu_s,30.8
raw,cps64,3,lb_cpu_s,3.25
raw,cps64,3,conn_per_s,51539
raw,cps64,3,errors,0
raw,cps64,3,p50_us,1241
raw,cps64,3,p99_us,1618
xdp,tput1,3,elapsed_s,5.00924
xdp,tput1,3,sys_cpu_s,14.99
xdp,tput1,3,lb_cpu_s,0
xdp,tput1,3,xdp_ns_per_pkt,42.382
xdp,tput1,3,xdp_cpu_s,0.221228
xdp,tput1,3,gbps,11.737834854402088
xdp,tput1,3,retrans,538
xdp,tput4,3,elapsed_s,5.00918
xdp,tput4,3,sys_cpu_s,28.14
xdp,tput4,3,lb_cpu_s,0
xdp,tput4,3,xdp_ns_per_pkt,61.2898
xdp,tput4,3,xdp_cpu_s,0.435339
xdp,tput4,3,gbps,15.851746734197283
xdp,tput4,3,retrans,22458
xdp,cps1,3,elapsed_s,5.01127
xdp,cps1,3,sys_cpu_s,12.87
xdp,cps1,3,lb_cpu_s,0
xdp,cps1,3,xdp_ns_per_pkt,267.65
xdp,cps1,3,xdp_cpu_s,0.281456
xdp,cps1,3,conn_per_s,20884
xdp,cps1,3,errors,0
xdp,cps1,3,p50_us,34
xdp,cps1,3,p99_us,95
xdp,cps64,3,elapsed_s,5.03086
xdp,cps64,3,sys_cpu_s,28.81
xdp,cps64,3,lb_cpu_s,0
xdp,cps64,3,xdp_ns_per_pkt,331.688
xdp,cps64,3,xdp_cpu_s,1.02327
xdp,cps64,3,conn_per_s,61508
xdp,cps64,3,errors,0
xdp,cps64,3,p50_us,1012
xdp,cps64,3,p99_us,1751
